marka,raw_ilan_sayisi,train_ilan_sayisi,kayip_ilan_sayisi,retention_pct,benzersiz_model_sayisi,benzersiz_yil_sayisi,min_yil,max_yil,min_fiyat,median_fiyat,mean_fiyat,max_fiyat,fiyat_araligi,p10_fiyat,p90_fiyat,min_km,median_km,max_km,arabam_ilan_sayisi,kaggle_legacy_ilan_sayisi,current_scrape_ratio,synthetic_currently_used,current_synthetic_count,brand_support_level,models_with_n_le_2,models_with_n_3_5,models_with_n_6_10,models_with_n_11_20,models_with_n_gt_20,weak_model_count,weak_model_ratio,synthetic_priority,preliminary_synthetic_candidate,synthetic_reason
Volvo,2840,2811,29,99.0,26,37,1989.0,2026.0,100000.0,1100000.0,1763048.299181786,7580000.0,7480000.0,405000.0,4250000.0,6000.0,198000.0,780000.0,1831,980,65.1,False,0,VERY_STRONG,3,2,5,3,13,8,30.8,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Mitsubishi,1557,1540,17,98.9,17,37,1985.0,2022.0,50000.0,515000.0,632010.337012987,2030000.0,1980000.0,240000.0,1230500.0000000007,1.0,257250.0,800000.0,1162,378,75.5,False,0,STRONG,2,3,2,2,8,7,41.2,LOW,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Chery,1433,1418,15,99.0,13,9,2008.0,2026.0,110000.0,1730000.0,1621023.6361071933,2450000.0,2340000.0,427000.0000000002,2111500.0,6000.0,34458.0,396500.0,1363,55,96.1,False,0,STRONG,0,2,0,0,11,2,15.4,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Land Rover,1422,1405,17,98.8,8,38,1974.0,2025.0,199999.0,2050000.0,3255288.1985765123,22500000.0,22300001.0,697000.0,6350000.0,0.0,195000.0,666000.0,1405,0,100.0,False,0,STRONG,0,0,0,0,8,0,0.0,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Mazda,1232,1219,13,98.9,21,31,1987.0,2022.0,55000.0,340000.0,455922.4298605414,1700000.0,1645000.0,160000.0,928000.0000000007,10000.0,280000.0,575600.0,669,550,54.9,False,0,STRONG,3,7,3,0,8,13,61.9,LOW,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Lada,1032,1018,14,98.6,5,21,1986.0,2009.0,17000.0,145000.0,149471.0304518664,288000.0,271000.0,97800.0,210000.0,6000.0,206500.0,999999.0,481,537,47.2,False,0,STRONG,1,0,0,1,3,1,20.0,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Suzuki,1028,1017,11,98.9,13,39,1985.0,2025.0,55000.0,590000.0,770145.6017699115,2100000.0,2045000.0,175000.0,1628500.0,6000.0,143000.0,890000.0,695,322,68.3,False,0,STRONG,0,0,1,2,10,1,7.7,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Mini,983,973,10,99.0,8,26,2001.0,2026.0,300000.0,1125000.0,1215528.9003083247,3150000.0,2850000.0,551000.0,2229822.2,6001.0,138053.0,410000.0,723,250,74.3,False,0,STRONG,1,0,1,0,6,1,12.5,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Jeep,796,788,8,99.0,11,38,1964.0,2026.0,250000.0,1339950.0,1371386.7918781727,3295000.0,3045000.0,720000.0,2011500.0000000002,6001.0,133000.0,524000.0,788,0,100.0,False,0,STRONG,3,0,0,3,5,3,27.3,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Alfa Romeo,725,717,8,98.9,18,32,1990.0,2026.0,78500.0,600000.0,742422.2831241284,2790000.0,2711500.0,235000.0,1843599.9999999998,6001.0,216000.0,555000.0,403,314,56.2,False,0,STRONG,3,5,1,1,8,9,50.0,LOW,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Porsche,692,685,7,99.0,9,28,1997.0,2025.0,790000.0,4945000.0,6847479.194160584,34000000.0,33210000.0,2520000.0000000005,14400000.000000006,0.0,136000.0,512000.0,507,178,74.0,False,0,STRONG,0,0,1,2,6,1,11.1,MEDIUM,True,"Toplam gercek kayit orta (685), yuksek fiyat segmenti, 11% model dusuk destekli (n<10)."
TOGG,589,582,7,98.8,2,4,2023.0,2026.0,1350000.0,2107500.0,2085343.1597938144,2850000.0,1500000.0,1750000.0,2400000.0,6000.0,31500.0,170000.0,582,0,100.0,False,0,STRONG,0,0,0,0,2,0,0.0,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Cupra,550,544,6,98.9,5,6,2021.0,2026.0,1725000.0,2350000.0,2382428.117647059,3420000.0,1695000.0,1976500.0,2792100.0,6000.0,30000.0,140000.0,502,42,92.3,False,0,STRONG,0,1,0,1,3,1,20.0,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Ssangyong,482,477,5,99.0,12,23,1997.0,2026.0,12345.0,1350000.0,1336115.1509433961,2600000.0,2587655.0,523000.0,2180000.0,6000.0,83000.0,507000.0,477,0,100.0,False,0,GOOD,1,1,2,1,7,3,25.0,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
BYD,462,457,5,98.9,9,3,2023.0,2025.0,1350000.0,2300000.0,2323910.6914660833,4000000.0,2650000.0,1718000.0,2814000.0000000005,0.0,17700.0,90000.0,449,8,98.2,False,0,GOOD,0,0,2,1,6,2,22.2,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Subaru,372,368,4,98.9,11,34,1990.0,2024.0,70000.0,944500.0,1020199.0461956522,3055000.0,2985000.0,413500.0,1816000.0000000002,6100.0,191338.0,625500.0,295,73,80.2,False,0,GOOD,1,3,1,2,4,5,45.5,LOW,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Tesla,364,360,4,98.9,4,8,2017.0,2026.0,1595000.0,2332500.0,2427922.6611111113,3995000.0,2400000.0,1850000.0,3098200.0,6000.0,25000.0,160000.0,172,188,47.8,False,0,GOOD,1,1,0,1,1,2,50.0,LOW,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
MG,328,324,4,98.8,6,7,2000.0,2025.0,500000.0,1495000.0,1512756.5030864198,2258750.0,1758750.0,1265000.0,1745000.0,6001.0,41000.0,139000.0,305,19,94.1,False,0,GOOD,1,1,0,1,3,2,33.3,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
DS Automobiles,315,311,4,98.7,6,16,2010.0,2025.0,419000.0,1809900.0,1636278.7749196142,3300000.0,2881000.0,650000.0,2650000.0,6001.0,100100.0,925000.0,227,84,73.0,False,0,GOOD,0,1,0,0,5,1,16.7,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Tata,291,288,3,99.0,5,9,2005.0,2014.0,55000.0,210000.0,211920.82986111112,375000.0,320000.0,150000.0,285000.0,61000.0,195000.0,450000.0,144,144,50.0,False,0,GOOD,0,1,0,0,4,1,20.0,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Jaguar,262,259,3,98.9,14,34,1986.0,2023.0,279900.0,1399000.0,1550279.915057915,5050000.0,4770100.0,554000.0,2781000.0,6001.0,204000.0,500000.0,160,99,61.8,False,0,GOOD,3,4,0,2,5,7,50.0,LOW,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Isuzu,225,222,3,98.7,3,22,1993.0,2025.0,245000.0,955000.0,1105846.8378378379,2850000.0,2605000.0,581400.0,1924999.9,6001.0,210000.0,653000.0,221,1,99.5,False,0,GOOD,2,0,0,0,1,2,66.7,LOW,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Geely,212,210,2,99.1,4,6,2009.0,2014.0,135000.0,300000.0,315355.9428571428,510000.0,375000.0,224500.0,425000.0,38800.0,180000.0,385000.0,90,120,42.9,False,0,GOOD,0,0,0,0,4,0,0.0,NONE,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Rover,179,177,2,98.9,15,11,1994.0,2005.0,65000.0,210000.0,222858.94350282487,627000.0,562000.0,143000.0,299962.2,88000.0,272000.0,469000.0,83,94,46.9,False,0,GOOD,5,1,4,2,3,10,66.7,MEDIUM,True,"Toplam gercek kayit orta (177), 67% model dusuk destekli (n<10)."
Proton,171,168,3,98.2,11,10,1988.0,2011.0,65000.0,219500.0,219205.34523809524,360950.0,295950.0,139900.0,299300.0,78000.0,252850.0,495000.0,80,88,47.6,False,0,GOOD,3,1,3,1,3,7,63.6,MEDIUM,True,"Toplam gercek kayit orta (168), 64% model dusuk destekli (n<10)."
Chrysler,157,155,2,98.7,10,18,1993.0,2012.0,99500.0,949000.0,894972.7870967742,2125000.0,2025500.0,390600.0,1375000.0,49000.0,287000.0,500000.0,79,76,51.0,False,0,GOOD,2,3,2,1,2,7,70.0,MEDIUM,True,"Toplam gercek kayit orta (155), 70% model dusuk destekli (n<10)."
Daewoo,149,147,2,98.7,9,9,1996.0,2012.0,51500.0,175000.0,176615.97959183675,385000.0,333500.0,100000.0,258000.00000000012,22222.0,250000.0,440000.0,70,77,47.6,False,0,GOOD,1,0,4,2,2,5,55.6,MEDIUM,True,"Toplam gercek kayit orta (147), 56% model dusuk destekli (n<10)."
