marka,model,raw_real_count,train_real_count,unique_year_count,min_year,max_year,min_km,median_km,max_km,min_price,median_price,max_price,price_cv,price_age_corr,current_hp_support,current_hp_source,current_hp_method,source_distribution,arabam_count,kaggle_count,in_ui_catalog,synthetic_candidate,priority,recommended_synthetic_count,reason,synthetic_safe,safety_reason,interpolation_year_range,interpolation_km_range,interpolation_price_range,exclude,second_wave_score,risk_notes,proposed_synthetic_count,current_scrape_ratio
Ssangyong,Musso,5,5,3,1997.0,2025.0,6001.0,292000.0,420000.0,12345.0,390000.0,2349000.0,0.9803,-0.7924,5,brand_model,theil_sen,arabam=5,5,0,True,True,CRITICAL,10,"train support 5 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 5 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (5, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1997-2025,"6,001-420,000","12,345-2,349,000",False,90,yok,6,1.0
Volvo,V60 Cross Country,6,6,2,2020.0,2024.0,34000.0,108000.0,146161.0,2200000.0,2912500.0,3599000.0,0.1778,-0.6058,6,brand_model,theil_sen,"arabam=3, kaggle=3",3,3,True,True,CRITICAL,9,"train support 6 (3-7 bandi, +20); synthetic_safe=true (+15); 3 guncel arabam- kayit (+15); premium/high-value (medyan 2,912,500 >= 2,393,000) (+10); dusuk hp_support/zayif fallback (6, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2020-2024,"34,000-146,161","2,200,000-3,599,000",False,90,yok,6,0.5
Opel,Adam,6,6,3,2013.0,2017.0,59000.0,137500.0,187000.0,559000.0,686260.0,959500.0,0.2111,-0.9703,6,brand_model,theil_sen,"arabam=4, kaggle=2",4,2,True,True,CRITICAL,9,"train support 6 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 4 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (6, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2013-2017,"59,000-187,000","559,000-959,500",False,90,yok,6,0.6666666666666666
Dodge,Journey,5,5,3,2009.0,2011.0,261000.0,285134.0,300000.0,580000.0,780000.0,1550000.0,0.3755,-0.2316,5,brand_model,theil_sen,arabam=5,5,0,True,True,CRITICAL,10,"train support 5 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 5 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (5, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2009-2011,"261,000-300,000","580,000-1,550,000",False,90,yok,6,1.0
Yuki,Hector,4,4,3,2023.0,2026.0,0.0,3025.0,9000.0,295000.0,422500.0,498780.0,0.1811,-0.9733,4,brand_model,theil_sen,arabam=4,4,0,True,True,CRITICAL,8,"train support 4 (3-7 bandi, +20); synthetic_safe=true (+15); 3 farkli yil (+10); 4 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (4, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2023-2026,"0-9,000","295,000-498,780",False,90,yok,6,1.0
Volvo,XC70,4,4,4,2001.0,2011.0,275000.0,368750.0,403000.0,400000.0,852500.0,1365000.0,0.4269,-0.995,4,brand_model,theil_sen,arabam=4,4,0,True,True,CRITICAL,8,"train support 4 (3-7 bandi, +20); synthetic_safe=true (+15); 4 farkli yil (+10); 4 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (4, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2001-2011,"275,000-403,000","400,000-1,365,000",False,90,yok,6,1.0
Kia,Magentis,9,9,3,2003.0,2008.0,199200.0,265000.0,340000.0,200000.0,350000.0,600000.0,0.3062,-0.0014,9,brand_model,theil_sen,"arabam=4, kaggle=5",4,5,True,True,CRITICAL,11,"train support 9 (8-12 bandi, +12); synthetic_safe=true (+15); 3 farkli yil (+10); 4 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (9, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2003-2008,"199,200-340,000","200,000-600,000",False,82,yok,5,0.4444444444444444
Yuki,Amy,10,9,4,2022.0,2025.0,6001.0,7000.0,13000.0,215000.0,379000.0,489000.0,0.2043,0.0823,9,brand_model,theil_sen,"arabam=6, kaggle=4",6,4,True,True,CRITICAL,11,"train support 9 (8-12 bandi, +12); synthetic_safe=true (+15); 4 farkli yil (+10); 6 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (9, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2022-2025,"6,001-13,000","215,000-489,000",False,82,yok,5,0.6
Volvo,C70,9,9,6,2000.0,2012.0,89118.0,176000.0,225369.0,490000.0,1070000.0,2150000.0,0.414,-0.9828,9,brand_model,theil_sen,"arabam=3, kaggle=6",3,6,True,True,CRITICAL,11,"train support 9 (8-12 bandi, +12); synthetic_safe=true (+15); 6 farkli yil (+10); 3 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (9, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,2000-2012,"89,118-225,369","490,000-2,150,000",False,82,yok,5,0.3333333333333333
Porsche,Boxster,8,8,7,1997.0,2014.0,68000.0,150599.5,235000.0,1300000.0,2074450.0,5650000.0,0.5079,-0.9046,8,brand_model,theil_sen,"arabam=3, kaggle=5",3,5,True,True,CRITICAL,10,"train support 8 (8-12 bandi, +12); synthetic_safe=true (+15); 7 farkli yil (+10); 3 guncel arabam- kayit (+15); dusuk hp_support/zayif fallback (8, brand_model) (+10); interpolasyon araligi (yil+km) yeterli genislikte (+10); fiyat davranisi tutarli (yasla aciklanan varyans veya dusuk cv) (+10)",True,,1997-2014,"68,000-235,000","1,300,000-5,650,000",False,82,yok,6,0.375
